tiempo_ms,bpm,ibi_ms,raw
326,0.0,0,1879
1329,0.0,796,2948
2329,0.0,796,0
3079,31.0,1884,0
3329,31.0,1884,2736
3579,31.0,1884,1949
3829,31.0,1884,2754
4079,31.0,1884,0
4329,31.0,1884,0
4579,31.0,1884,0
4829,31.0,1884,0
5079,31.0,1884,0
5329,31.0,1884,0
5579,30.0,2434,1555
5829,30.0,2434,1655
6079,30.0,2434,2557
6329,30.0,2434,3184
6579,30.0,2434,3537
6829,30.0,2434,3281
7079,31.0,1460,3257
7329,31.0,1460,3284
7579,31.0,1460,1424
7829,33.0,884,2205
8079,33.0,884,2193
8329,33.0,884,1360
8579,35.0,650,2677
8829,39.0,392,3255
9079,44.0,252,2809
9329,44.0,252,3345
9579,44.0,252,3728
9829,44.0,252,3971
10079,44.0,252,4095
10329,44.0,252,4095
10579,45.0,1398,3675
10829,45.0,1398,3291
11079,45.0,1398,3255
11329,45.0,1398,3275
11579,45.0,1398,1520
11829,48.0,1162,1232
12079,48.0,1162,1271
12329,53.0,698,1343
12579,53.0,698,1317
12829,53.0,698,1623
13079,53.0,698,1634
13329,53.0,698,1696
13579,53.0,698,1691
13829,53.0,698,1615
14079,53.0,698,1686
14329,53.0,698,1630
14579,53.0,698,1701
15329,0.0,0,1618
16329,0.0,710,3286
16829,55.0,1080,3053
17079,55.0,1080,3257
17329,57.0,650,1946
17579,57.0,650,2431
17829,61.0,442,2743
18079,67.0,268,3046
18329,73.0,278,3295
18579,82.0,252,1947
18829,92.0,252,3265
19079,106.0,252,3274
19329,125.0,252,3239
19579,150.0,266,3200
19829,189.0,264,3014
20079,216.0,252,3355
20329,216.0,252,3381
20579,216.0,252,3362
20829,216.0,252,3318
21079,216.0,252,3275
21329,176.0,1060,3281
21579,176.0,1060,1959
21829,176.0,1060,1871
22079,155.0,738,2017
22329,155.0,738,1962
22579,155.0,738,1939
22829,155.0,738,1958
23079,155.0,738,1936
23329,155.0,738,1955
23579,155.0,738,2001
23829,155.0,738,2013
24079,103.0,2226,3344
24329,103.0,2226,3328
24579,103.0,2226,1201
24829,103.0,2226,2214
25079,103.0,2226,2378
25329,103.0,2226,2329
25579,87.0,1336,2459
25829,87.0,1336,2165
26079,87.0,1336,0
26329,80.0,802,797
26579,80.0,802,3273
26829,78.0,482,3264
27079,78.0,482,3248
27329,78.0,482,3280
27579,78.0,482,3248
27829,78.0,482,3285
28079,78.0,482,3290
28329,78.0,482,3190
28579,78.0,482,3289
28829,78.0,482,3246
29079,78.0,482,3293
29329,0.0,0,3294
30079,166.0,360,3280
30329,166.0,360,3281
30579,166.0,360,3281
30829,166.0,360,3255
31079,166.0,360,3281
31329,166.0,360,3247
31579,124.0,1586,3659
31829,124.0,1586,3293
32079,124.0,1586,3440
32329,124.0,1586,3757
32579,124.0,1586,3841
32829,108.0,1084,3263
33079,108.0,1084,3466
33329,108.0,1084,3573
33579,98.0,916,3222
33829,98.0,916,3269
34079,98.0,916,3262
34329,98.0,916,3254
34579,98.0,916,3281
34829,98.0,916,3296
35079,83.0,1438,3317
35329,83.0,1438,3647
35579,83.0,1438,3829
35829,83.0,1438,3253
36079,78.0,862,3241
36329,78.0,862,3280
36579,78.0,862,3251
36829,78.0,862,3234
37079,78.0,862,3248
37329,78.0,862,3263
37579,78.0,862,3286
37829,78.0,862,3248
38079,78.0,862,3254
38329,78.0,862,3251
39329,0.0,0,3133
40329,0.0,1848,3033
41329,0.0,1848,3985
41579,46.0,1288,3236
41829,46.0,1288,3685
42079,46.0,1288,3955
42329,48.0,772,4019
42579,48.0,772,4005
42829,48.0,772,4066
43079,48.0,772,4048
43329,49.0,944,3280
43579,49.0,944,3710
43829,53.0,566,3670
44079,53.0,566,3850
44329,53.0,566,4048
44579,55.0,730,3447
44829,55.0,730,3248
45079,55.0,730,3279
45329,55.0,730,3248
45579,55.0,730,3255
45829,55.0,730,3270
46079,55.0,730,3250
46329,55.0,730,3264
46579,55.0,730,3248
46829,55.0,730,3255
47079,50.0,2482,3421
47329,50.0,2482,3858
47579,50.0,2482,4095
47829,50.0,2482,4095
